site_name,target_date,lat,lon,fires_7d_count,fires_30d_count,fire_max_brightness_7d,fire_avg_brightness_7d,fire_max_frp_7d,fire_avg_frp_7d,fires_persistent_days,days_since_last_fire,temp_mean,temp_max,humidity_mean,humidity_min,wind_max,rain_total,dry_days,latitude,longitude,month,season,label,label_meta_detections,label_meta_max_brightness
Miami,2025-08-25 00:00:00+00:00,25.7617,-80.1918,0,0,0.0,0.0,0.0,0.0,0,999,28.614285714285717,34.5,75.14285714285714,46,16.4,30.1,1,25.7617,-80.1918,8,2,0,0,0.0
Miami,2024-01-29 00:00:00+00:00,25.7617,-80.1918,0,0,0.0,0.0,0.0,0.0,0,999,23.385714285714283,28.0,75.71428571428571,58,32.1,4.0,5,25.7617,-80.1918,1,0,0,0,0.0
Manila,2025-06-02 00:00:00+00:00,14.5995,120.9842,0,2,0.0,0.0,0.0,0.0,0,999,29.857142857142854,36.5,69.14285714285714,40,20.3,19.799999999999997,3,14.5995,120.9842,6,2,0,0,0.0
Mexico City,2025-04-07 00:00:00+00:00,19.4326,-99.1332,6,12,352.1,337.5833333333333,187.9,111.68333333333332,4,1,21.9,30.9,22.714285714285715,6,18.6,0.0,7,19.4326,-99.1332,4,1,1,18,391.9
Miami,2024-05-27 00:00:00+00:00,25.7617,-80.1918,0,0,0.0,0.0,0.0,0.0,0,999,27.514285714285712,33.5,69.71428571428571,40,25.6,10.4,4,25.7617,-80.1918,5,1,0,0,0.0
Manila,2025-04-21 00:00:00+00:00,14.5995,120.9842,1,2,323.9,323.9,88.6,88.6,1,7,31.04285714285714,36.5,57.857142857142854,26,18.0,4.6,5,14.5995,120.9842,4,1,1,3,358.5
San Francisco,2025-06-30 00:00:00+00:00,37.7749,-122.4194,0,0,0.0,0.0,0.0,0.0,0,999,14.2,20.8,80.0,52,22.6,0.0,7,37.7749,-122.4194,6,2,1,1,371.0
San Diego,2025-09-22 00:00:00+00:00,32.7157,-117.1611,0,0,0.0,0.0,0.0,0.0,0,999,22.142857142857142,29.2,83.28571428571429,48,23.6,39.1,4,32.7157,-117.1611,9,3,0,0,0.0
Berlin,2025-06-23 00:00:00+00:00,52.52,13.405,0,0,0.0,0.0,0.0,0.0,0,999,21.12857142857143,34.0,48.57142857142857,15,21.9,0.2,7,52.52,13.405,6,2,0,0,0.0
Miami,2024-12-16 00:00:00+00:00,25.7617,-80.1918,0,0,0.0,0.0,0.0,0.0,0,999,23.071428571428573,27.8,65.71428571428571,47,28.3,7.7,4,25.7617,-80.1918,12,0,0,0,0.0
Los Angeles,2025-10-20 00:00:00+00:00,34.0522,-118.2437,0,0,0.0,0.0,0.0,0.0,0,999,17.17142857142857,28.8,71.71428571428571,26,18.0,41.4,5,34.0522,-118.2437,10,3,0,0,0.0
New Orleans,2024-10-14 00:00:00+00:00,29.9511,-90.0715,0,0,0.0,0.0,0.0,0.0,0,999,23.642857142857142,29.6,67.85714285714286,40,22.2,0.0,7,29.9511,-90.0715,10,3,0,0,0.0
Lima,2025-02-24 00:00:00+00:00,-12.0464,-77.0428,0,0,0.0,0.0,0.0,0.0,0,999,23.657142857142855,26.8,81.14285714285714,63,14.4,4.6,6,-12.0464,-77.0428,2,0,0,0,0.0
Tampa,2025-07-21 00:00:00+00:00,27.9506,-82.4572,0,0,0.0,0.0,0.0,0.0,0,999,28.014285714285712,35.2,78.85714285714286,44,17.7,37.9,2,27.9506,-82.4572,7,2,0,0,0.0
Houston,2025-09-29 00:00:00+00:00,29.7604,-95.3698,0,0,0.0,0.0,0.0,0.0,0,999,26.214285714285715,32.0,71.57142857142857,31,13.7,36.00000000000001,5,29.7604,-95.3698,9,3,0,0,0.0
Wellington,2024-05-20 00:00:00+00:00,-41.2865,174.7762,0,0,0.0,0.0,0.0,0.0,0,999,11.87142857142857,15.8,80.71428571428571,62,44.7,4.2,6,-41.2865,174.7762,5,1,0,0,0.0
Managua,2025-05-05 00:00:00+00:00,12.1364,-86.2514,5,29,364.9,342.21999999999997,94.5,60.620000000000005,4,2,29.171428571428574,36.7,65.28571428571429,30,21.8,17.8,3,12.1364,-86.2514,5,1,1,7,344.2
Honolulu,2025-01-06 00:00:00+00:00,21.3099,-157.8581,0,0,0.0,0.0,0.0,0.0,0,999,23.328571428571426,28.4,71.85714285714286,45,24.1,3.4,6,21.3099,-157.8581,1,0,0,0,0.0
Tampa,2024-04-22 00:00:00+00:00,27.9506,-82.4572,0,1,0.0,0.0,0.0,0.0,0,999,24.042857142857144,32.0,64.85714285714286,26,23.9,0.9,7,27.9506,-82.4572,4,1,1,1,326.7
Houston,2024-04-08 00:00:00+00:00,29.7604,-95.3698,0,3,0.0,0.0,0.0,0.0,0,999,21.12857142857143,29.7,67.85714285714286,26,32.7,7.4,5,29.7604,-95.3698,4,1,0,0,0.0
Los Angeles,2025-03-17 00:00:00+00:00,34.0522,-118.2437,0,0,0.0,0.0,0.0,0.0,0,999,12.114285714285714,22.3,70.85714285714286,28,19.8,31.4,3,34.0522,-118.2437,3,1,0,0,0.0
Tampa,2025-02-24 00:00:00+00:00,27.9506,-82.4572,0,0,0.0,0.0,0.0,0.0,0,999,15.957142857142856,24.5,73.42857142857143,44,30.1,7.6,6,27.9506,-82.4572,2,0,1,4,333.8
Jakarta,2024-02-26 00:00:00+00:00,-6.2088,106.8456,0,0,0.0,0.0,0.0,0.0,0,999,27.500000000000004,33.3,83.71428571428571,54,14.3,51.199999999999996,3,-6.2088,106.8456,2,0,0,0,0.0
Honolulu,2024-11-11 00:00:00+00:00,21.3099,-157.8581,0,0,0.0,0.0,0.0,0.0,0,999,24.442857142857147,28.9,76.14285714285714,53,32.1,14.3,3,21.3099,-157.8581,11,3,0,0,0.0
Melbourne,2025-06-02 00:00:00+00:00,-37.8136,144.9631,0,3,0.0,0.0,0.0,0.0,0,999,12.542857142857143,19.8,72.14285714285714,32,29.0,6.5,5,-37.8136,144.9631,6,2,0,0,0.0
Berlin,2025-10-13 00:00:00+00:00,52.52,13.405,0,0,0.0,0.0,0.0,0.0,0,999,12.985714285714284,16.3,85.57142857142857,59,29.3,10.4,3,52.52,13.405,10,3,0,0,0.0
Jakarta,2025-03-31 00:00:00+00:00,-6.2088,106.8456,0,0,0.0,0.0,0.0,0.0,0,999,27.585714285714285,31.9,81.14285714285714,60,16.6,34.1,1,-6.2088,106.8456,3,1,0,0,0.0
Port-au-Prince,2024-02-19 00:00:00+00:00,18.5944,-72.3074,0,1,0.0,0.0,0.0,0.0,0,999,26.58571428571429,32.5,61.57142857142857,32,25.6,0.2,7,18.5944,-72.3074,2,0,1,1,325.5
San Diego,2024-04-01 00:00:00+00:00,32.7157,-117.1611,0,0,0.0,0.0,0.0,0.0,0,999,13.014285714285714,17.2,79.14285714285714,53,35.8,35.1,5,32.7157,-117.1611,4,1,0,0,0.0
Berlin,2025-01-06 00:00:00+00:00,52.52,13.405,0,0,0.0,0.0,0.0,0.0,0,999,1.6714285714285715,6.9,84.42857142857143,68,30.3,16.6,4,52.52,13.405,1,0,0,0,0.0
Portland,2025-10-13 00:00:00+00:00,45.5152,-122.6784,0,0,0.0,0.0,0.0,0.0,0,999,12.785714285714286,23.5,75.85714285714286,36,18.4,38.9,3,45.5152,-122.6784,10,3,0,0,0.0
Port-au-Prince,2025-05-26 00:00:00+00:00,18.5944,-72.3074,0,0,0.0,0.0,0.0,0.0,0,999,29.800000000000004,36.0,56.857142857142854,31,25.2,1.2000000000000002,6,18.5944,-72.3074,5,1,0,0,0.0
Melbourne,2024-09-02 00:00:00+00:00,-37.8136,144.9631,0,0,0.0,0.0,0.0,0.0,0,999,14.585714285714287,19.2,60.714285714285715,33,44.0,3.0,6,-37.8136,144.9631,9,3,0,0,0.0
Sacramento,2024-02-05 00:00:00+00:00,38.5816,-121.4944,0,0,0.0,0.0,0.0,0.0,0,999,11.142857142857142,19.4,84.0,53,51.0,87.80000000000001,3,38.5816,-121.4944,2,0,0,0,0.0
Santiago,2024-05-13 00:00:00+00:00,-33.4489,-70.6693,0,0,0.0,0.0,0.0,0.0,0,999,9.385714285714286,17.8,62.714285714285715,10,22.9,29.9,6,-33.4489,-70.6693,5,1,0,0,0.0
Santiago,2024-06-03 00:00:00+00:00,-33.4489,-70.6693,0,0,0.0,0.0,0.0,0.0,0,999,13.714285714285712,20.1,50.857142857142854,11,11.8,0.0,7,-33.4489,-70.6693,6,2,0,0,0.0
Denver,2024-01-29 00:00:00+00:00,39.7392,-104.9903,0,0,0.0,0.0,0.0,0.0,0,999,-1.6285714285714288,11.6,73.0,32,13.0,5.7,6,39.7392,-104.9903,1,0,0,0,0.0
Phoenix,2024-05-13 00:00:00+00:00,33.4484,-112.074,0,1,0.0,0.0,0.0,0.0,0,999,24.8,33.8,12.714285714285714,5,31.6,0.0,7,33.4484,-112.074,5,1,0,0,0.0
Los Angeles,2025-09-01 00:00:00+00:00,34.0522,-118.2437,0,0,0.0,0.0,0.0,0.0,0,999,25.571428571428573,36.0,54.857142857142854,22,15.0,0.0,7,34.0522,-118.2437,9,3,0,0,0.0
Managua,2024-01-08 00:00:00+00:00,12.1364,-86.2514,1,1,358.3,358.3,149.7,149.7,1,3,27.95714285714286,34.0,65.42857142857143,34,30.3,0.7000000000000001,7,12.1364,-86.2514,1,0,0,0,0.0
Hamburg,2024-12-23 00:00:00+00:00,53.5511,9.9937,0,0,0.0,0.0,0.0,0.0,0,999,7.557142857142857,12.4,86.0,66,32.1,19.9,1,53.5511,9.9937,12,0,0,0,0.0
San Francisco,2024-07-22 00:00:00+00:00,37.7749,-122.4194,0,0,0.0,0.0,0.0,0.0,0,999,17.428571428571434,30.0,73.57142857142857,27,31.0,0.0,7,37.7749,-122.4194,7,2,0,0,0.0
Portland,2024-10-14 00:00:00+00:00,45.5152,-122.6784,0,0,0.0,0.0,0.0,0.0,0,999,14.614285714285714,25.0,74.0,38,13.3,1.9,6,45.5152,-122.6784,10,3,0,0,0.0
Tokyo,2025-09-01 00:00:00+00:00,35.6762,139.6503,0,0,0.0,0.0,0.0,0.0,0,999,30.857142857142858,38.8,62.714285714285715,33,15.6,0.7,7,35.6762,139.6503,9,3,0,0,0.0
Frankfurt,2025-09-15 00:00:00+00:00,50.1109,8.6821,0,0,0.0,0.0,0.0,0.0,0,999,15.642857142857144,20.7,79.85714285714286,47,22.8,25.700000000000003,0,50.1109,8.6821,9,3,0,0,0.0
Managua,2024-03-18 00:00:00+00:00,12.1364,-86.2514,0,7,0.0,0.0,0.0,0.0,0,999,30.17142857142857,37.4,57.57142857142857,24,34.0,0.4,7,12.1364,-86.2514,3,1,1,1,334.8
Seattle,2024-10-07 00:00:00+00:00,47.6062,-122.3321,0,0,0.0,0.0,0.0,0.0,0,999,12.614285714285716,19.2,79.0,47,33.1,10.3,6,47.6062,-122.3321,10,3,0,0,0.0
Melbourne,2024-07-08 00:00:00+00:00,-37.8136,144.9631,0,0,0.0,0.0,0.0,0.0,0,999,6.671428571428572,15.3,87.57142857142857,49,16.9,0.7,7,-37.8136,144.9631,7,2,0,0,0.0
