site,year,month,predicted,actual,risk_score,event_count,categories
Houston,2025,7,1,0,0.25,0,none
Houston,2025,8,1,0,0.25,0,none
Houston,2025,9,0,0,0.0,0,none
Houston,2025,10,0,0,0.0,0,none
Houston,2025,11,0,0,0.0,0,none
Houston,2025,12,1,0,0.25,0,none
New Orleans,2025,6,1,0,0.3333333333333333,0,none
New Orleans,2025,7,1,0,0.3333333333333333,0,none
New Orleans,2025,8,1,0,0.3333333333333333,0,none
New Orleans,2025,9,0,0,0.16666666666666666,0,none
New Orleans,2025,10,0,0,0.16666666666666666,0,none
New Orleans,2025,11,0,0,0.16666666666666666,0,none
New Orleans,2025,12,1,0,0.4166666666666667,0,none
Miami,2025,6,0,0,0.08333333333333333,0,none
Miami,2025,7,0,0,0.08333333333333333,0,none
Miami,2025,8,0,0,0.08333333333333333,0,none
Miami,2025,9,0,0,0.0,0,none
Miami,2025,10,0,0,0.0,0,none
Miami,2025,11,0,0,0.0,0,none
Miami,2025,12,0,0,0.08333333333333333,0,none
Tampa,2025,6,1,0,0.9166666666666666,0,none
Tampa,2025,7,1,0,0.9166666666666666,0,none
Tampa,2025,8,1,0,0.9166666666666666,0,none
Tampa,2025,9,0,0,0.16666666666666666,0,none
Tampa,2025,10,0,1,0.16666666666666666,1,floods
Tampa,2025,11,0,0,0.16666666666666666,0,none
Tampa,2025,12,1,0,0.5,0,none
Tokyo,2025,6,0,1,0.0,2,"severestorms, severestorms"
Tokyo,2025,7,0,1,0.0,2,"severestorms, floods"
Tokyo,2025,8,0,0,0.0,0,none
Tokyo,2025,9,0,1,0.0,1,severestorms
Tokyo,2025,10,0,0,0.0,0,none
Tokyo,2025,11,0,0,0.0,0,none
Tokyo,2025,12,0,0,0.0,0,none
Osaka,2025,6,1,0,0.25,0,none
Osaka,2025,7,1,0,0.25,0,none
Osaka,2025,8,1,1,0.25,2,"floods, floods"
Osaka,2025,9,0,1,0.16666666666666666,1,severestorms
Osaka,2025,10,0,0,0.16666666666666666,0,none
Osaka,2025,11,0,0,0.16666666666666666,0,none
Osaka,2025,12,0,0,0.0,0,none
Manila,2025,6,0,1,0.0,1,floods
Manila,2025,7,0,1,0.0,1,floods
Manila,2025,8,0,0,0.0,0,none
Manila,2025,9,0,0,0.16666666666666666,0,none
Manila,2025,10,0,0,0.16666666666666666,0,none
Manila,2025,11,0,1,0.16666666666666666,1,severestorms
Manila,2025,12,0,0,0.0,0,none
Jakarta,2025,6,0,0,0.0,0,none
Jakarta,2025,7,0,1,0.0,1,floods
Jakarta,2025,8,0,1,0.0,1,floods
Jakarta,2025,9,0,0,0.0,0,none
Jakarta,2025,10,0,0,0.0,0,none
Jakarta,2025,11,0,0,0.0,0,none
Jakarta,2025,12,0,0,0.08333333333333333,0,none
Bangkok,2025,6,0,0,0.0,0,none
Bangkok,2025,7,0,0,0.0,0,none
Bangkok,2025,8,0,0,0.0,0,none
Bangkok,2025,9,0,1,0.0,1,floods
Bangkok,2025,10,0,0,0.0,0,none
Bangkok,2025,11,0,1,0.0,1,floods
Bangkok,2025,12,0,1,0.0,2,"floods, floods"
Sydney,2025,6,0,1,0.0,1,floods
Sydney,2025,7,0,0,0.0,0,none
Sydney,2025,8,0,1,0.0,2,"floods, floods"
Sydney,2025,9,0,0,0.0,0,none
Sydney,2025,10,0,0,0.0,0,none
Sydney,2025,11,0,1,0.0,1,wildfires
Sydney,2025,12,0,1,0.0,1,wildfires
Melbourne,2025,6,0,0,0.0,0,none
Melbourne,2025,7,0,0,0.0,0,none
Melbourne,2025,8,0,0,0.0,0,none
Melbourne,2025,9,0,0,0.0,0,none
Melbourne,2025,10,0,0,0.0,0,none
Melbourne,2025,11,0,0,0.0,0,none
Melbourne,2025,12,0,0,0.0,0,none
Brisbane,2025,6,0,0,0.0,0,none
Brisbane,2025,7,0,0,0.0,0,none
Brisbane,2025,8,0,0,0.0,0,none
Brisbane,2025,9,0,0,0.0,0,none
Brisbane,2025,10,0,0,0.0,0,none
Brisbane,2025,11,0,1,0.0,1,floods
Brisbane,2025,12,0,0,0.0,0,none
Santiago,2025,6,0,0,0.08333333333333333,0,none
Santiago,2025,7,0,0,0.08333333333333333,0,none
Santiago,2025,8,0,0,0.08333333333333333,0,none
Santiago,2025,9,0,0,0.0,0,none
Santiago,2025,10,0,0,0.0,0,none
Santiago,2025,11,0,0,0.0,0,none
Santiago,2025,12,0,0,0.0,0,none
Lima,2025,6,0,0,0.0,0,none
Lima,2025,7,0,0,0.0,0,none
Lima,2025,8,0,0,0.0,0,none
Lima,2025,9,0,0,0.0,0,none
Lima,2025,10,0,0,0.0,0,none
Lima,2025,11,0,0,0.0,0,none
Lima,2025,12,0,0,0.0,0,none
Mexico City,2025,6,0,0,0.08333333333333333,0,none
Mexico City,2025,7,0,0,0.08333333333333333,0,none
Mexico City,2025,8,0,0,0.08333333333333333,0,none
Mexico City,2025,9,0,0,0.0,0,none
Mexico City,2025,10,0,0,0.0,0,none
Mexico City,2025,11,0,0,0.0,0,none
Mexico City,2025,12,0,0,0.0,0,none
Quito,2025,6,0,0,0.0,0,none
Quito,2025,7,0,0,0.0,0,none
Quito,2025,8,0,0,0.0,0,none
Quito,2025,9,0,0,0.0,0,none
Quito,2025,10,0,0,0.0,0,none
Quito,2025,11,0,1,0.0,1,wildfires
Quito,2025,12,0,0,0.0,0,none
San Jose CR,2025,6,0,0,0.0,0,none
San Jose CR,2025,7,0,0,0.0,0,none
San Jose CR,2025,8,0,0,0.0,0,none
San Jose CR,2025,9,0,1,0.0,2,"floods, floods"
San Jose CR,2025,10,0,1,0.0,1,floods
San Jose CR,2025,11,0,1,0.0,1,floods
San Jose CR,2025,12,0,0,0.0,0,none
Anchorage,2025,6,1,0,0.6666666666666666,0,none
Anchorage,2025,7,1,0,0.6666666666666666,0,none
Anchorage,2025,8,1,0,0.6666666666666666,0,none
Anchorage,2025,9,0,0,0.0,0,none
